project title,Project Code (GAFSP),Project ID (World Bank),Project Symbol (FAO),Project Number (ADB),GRIPs ID (IFAD),AfDB,Reference Number (WFP),country,project status,funding,supervising entity,call year,Project amount,Commitment amount,environmental category,summary,,,,,,,,,,,,,,,,
Smallholder Irrigation and Value Addition Project (SIVAP) ,SIVAP,,,,,,,Malawi,Closed,Public,AfDB,2012,,39.6 million,agriculture,"Challenge
In Malawi, one in two people in rural areas are poor – the vast majority are small-scale food producers – driven by poor performance of the agriculture sector, volatile economic growth, population growth, and limited opportunities in non-farm activities. Agriculture accounts for around 30% of Malawi’s GDP, and provides a livelihood for more than 80% of the population. The sector is composed of about two million small-scale food producers who use 6.5 million hectares of cultivable land and around 30,000 commercial estates that hold around 1.2 million hectares of cultivable land. Most small-scale food producers cultivate less than one hectare. Only 2% of Malawi’s cropland is irrigated, and almost all the irrigated land is controlled by commercial estates, which mainly grow cash crops such as tobacco, cotton and coffee.
Solution
The Smallholder Irrigation and Value Addition Project (SIVAP) increases agricultural production and productivity through the intensification of irrigation, crop diversification, value addition, and capacity building for sustainable land and water management and value chain development. The main activity, the intensification of irrigation, involves construction of 11 new irrigation schemes and rehabilitation of 5 existing schemes. It also supports the implementation of programs that address institutional and capacity  constraints through capacity building of local farmers’ organizations, water users’ associations (WUAs), and farmers’ cooperatives on production technologies, nutrition, agribusiness, and environmental management. Farmers will be trained on good farming practices including timing, planting, harvesting techniques to maximize crop potential, and nutrition.",,,,,,,,,,,,,,,,
Platform for Food Security and Rural Development of the Imbo/Mosso (PNSADR-IM),PNSADR-IM,,,,,,,Burundi,Active,Public,IFAD,2012,,30 million,agriculture,"Challenge
Nearly 70% of Burundians lives on less than US$1 a day, and those living in rural areas are the most-severely affected by poverty and food insecurity. The vast majority of the population works in the farming sector, estimated at more than 95%, and most are small farmers who depend on food crops. Their poverty is largely linked to low agricultural productivity, due in large part to the small size of farms, low soil fertility, limited technological and financial capital assets, lack of access to quality seeds and fertilizers, and a limited technical knowledge of farming best practices.
Solution
To support these farmers and help lift them out of poverty, PNSADR-IM strengthens food security and rural development in Imbo and Moso regions by reinforcing hydro-agricultural infrastructure, such as dams and roads in marshlands and plains; provides access to production areas; and develops and strengthens the rice and milk sectors. The project also supports production diversification and promotes nutrition education, while building stakeholder capacity in agricultural development.",,,,,,,,,,,,,,,,
Food and Agriculture Sector Development Project (FASDEP),FASDEP,,,,,,,The Gambia,Closed,Public,"AfDB , FAO",2012,,28 million,agriculture,"Solution
FAO classifies The Gambia as a Least Developed, Low Income Food Deficit Country, with 31.7% of the population living in extreme poverty. The agriculture sector provides employment for about three-quarters of the labor force, and smallholder farmers supply about 90% of domestically produced food. However, the sector produces low and unpredictable yields, is highly susceptibility to droughts and erratic climate patterns, and is essentially rain fed, with only 3% of the arable land estimated to be under irrigation.",,,,,,,,,,,,,,,,
Multisectoral Food Security and Nutrition Project (UMFSNP),UMFSNP,,,,,,,Uganda,Active,Public,World Bank,2013,,27.6 million,agriculture,"Challenge
Subsistence farming by Uganda’s smallholders currently accounts for 96% of all farm production and a quarter of total GDP. The sector employs more than two-thirds of workers, contributing to 40% of household income. At the same time, stunting affects one in three children—more than 2.1 million children across the country, higher than its immediate neighbors—some of whom have lower per capita income. Undernutrition disproportionately affects rural areas, where stunting rates top 36%, compared to 19% in urban areas, and annual costs associated with child undernutrition are estimated at 5.6% of GDP. Meanwhile, Ugandan agricultural policy has focused primarily on increasing productivity and commercialization of staple foods and cash crops to raise farmer incomes. 
Solution
UMFSNP increases the production and consumption of micronutrient rich foods, including African indigenous vegetables, high-iron beans, and orange-fleshed sweet potatoes, while increasing the use of community-based nutrition services in smallholder households in project areas. The focus is on promoting short-term changes in high-impact nutrition behaviors and practices that are known to contribute to the medium- and long-term reduction of stunted growth in young children. Activities include distributing start-up materials to increase household production of nutritious foods while improving nutrition and health education through schools and community-based agriculture extension and health services. Services include routinely distributing nutrition commodities, such as iron-folic acid supplements or anthropometric measurement scales, to communities in 15 project districts. The project also supports community-led school demonstration gardens, education for women’s groups, and scaling up of micronutrient supplementation.",,,,,,,,,,,,,,,,
Koulikoro Region Food And Nutrition Security Enhancement Project (PReSAN-KL),PReSAN-KL,,,,,,,Mali,Active,Public,AfDB,2013,,37.2 million,agriculture,"Challenge
In Mali, a landlocked Sahel country vulnerable to weather conditions, 77% of the population live in rural areas, and 46% are below 15 years old. The economy is largely based on agriculture –around 40% of GDP– sustained mainly by the subsistence farming and livestock sub-sectors, as well as the building and trade sub-sectors. Poverty remains an essentially rural phenomenon, and 22% of the population lived in extreme poverty in 2010, with farmers being the poorest. Overall, these people are unable to meet basic nutritional needs, with undernourishment affecting 4% of the population.
Solution
PReSAN-KL sustainably increases rice and vegetable crop production and productivity while improving incomes through water management and agricultural product development. The project focuses on increased agricultural output, infrastructure for drinking water, improved health and education, and improved capacity of local communities and authorities, professional organizations, and technical service providers. Capacity development strengthens women’s and young people’s participation and organization skills. A nutrition component helps prevent malnutrition and promote health and nutrition by preventing the resurgence of waterborne diseases; increasing and diversifying agricultural production; establishing women’s groups of culinary demonstrations; constructing, rehabilitating, and equipping health centers; improving dispensaries; and producing fortified foods and supplements made from local products.",,,,,,,,,,,,,,,,
Food Security and Agriculture Productivity (FSAPP),FSAPP,,,,,,,Bhutan,Active,Public,World Bank,2013,,8 million,agriculture,"Challenge
Bhutan is a small landlocked nation, with only 8% of arable land, only 3% of which is under cultivation, mostly by smallholder farmers. Large areas are exposed to monsoons, floods, droughts, landslides, and earthquakes. More than a third of Bhutan’s poor live in rural areas, and almost 70% of the rural population engages in subsistence farming.
Solution
In support of the government’s efforts to reduce rural poverty and high levels of malnutrition through climate-smart agriculture productivity enhancements for food and nutrition security and to increase farmers’ access to local and export markets, particularly for key high-value crops, FSAPP increases agricultural productivity and enhances market linkages in rural districts in southwest Bhutan. The project aims to enhance productivity of food crops, such as rice, maize, potato, vegetables, and pulses and possibly quinoa, citrus, apples, potatoes, and high-value crops, including spices, especially large cardamom and ginger. Key activities include strengthening producers’ groups; developing irrigation, including on-farm sprinkler and drip systems; providing improved agri-inputs and farm equipment; and supporting home-grown school feeding programs.",,,,,,,,,,,,,,,,
Smallholder Agricultural Productivity Enhancement Program (SAPEP),SAPEP,,,,,,,Republic of Yemen,Closed,Public,World Bank,2013,,36 million,agriculture,"

Solution
SAPREP activities helped build communities’ climate resilience by promoting natural resource management techniques, such as water harvesting and terrace rehabilitation in the highlands, spate irrigated agriculture in the lowlands, integrated watershed management. Developing underground cistern and wadi pits, rehabilitating wells and springs, building rooftop and other household-level water-harvesting facilities water storages, excavating ponds, and rehabilitating on-farm water harvesting for agriculture and livestock strengthened on-farm water management. 
The project provided investment to increase agriculture production and improve livelihoods and nutrition and improved technologies and practices for key horticulture crops and dairy products, leading to increased nutritional content of agricultural products, better honey quality through improved beekeeping and processing, and more-successful animal husbandry and health services. The project also introduced improved climate-resilient seed varieties, better production management of emission-intensive crops, and integrated pest and disease control technologies. 
 

",,,,,,,,,,,,,,,,
Agricultural Productivity and Food Security Project (PAPSA),PAPSA,,,,,,,Burkina Faso,Closed,Public,World Bank,2013,,37.1 million,agriculture,"Challenge
Burkina Faso has been faced with some major challenges over the years that have threatened food security in the country, from a severe drought in 2011 to an influx of Malian refugees in 2012. As a Sahelian country with 86% of its population employed in the agricultural sector, Burkina Faso is vulnerable to climate shocks, which lead to poor harvests yields, a challenging food production system, and a poor rural population, in addition to the pastoralist lifestyle that promotes competition and may lead to conflict.
Solution
PAPSA supported the government’s National Rural Sector Program by helping poor farmers increase their crop and livestock production and by expanding the volume of food products sold in rural markets. This includes activities such as improving crop production infrastructure through an additional 3,000 hectares of lowland development, 2,000 hectares of small-scale irrigation, and 800 kilometers of corridors to facilitate animal access to water resources and supporting an additional 5,000 hectares of soil conservation and 3,000 compost pits for soil restoration. The project engaged in a variety of activities to develop animal production facilities, including constructing 5,000 fattening units for cattle and sheep, improving vaccine dissemination, building farmer capacity on artificial insemination techniques for cattle, and improving milk collection and processing efforts. The project also supported the warrantage warehouse receipt system, a rural credit guarantee scheme for 500 farmers’ organizations, and post-harvest management and marketing of food products by constructing 50 community warehouses.",,,,,,,,,,,,,,,,
Sustainable Agriculture Productivity Improvement Project (SAPIP),SAPIP,,,,,,,Timor-Leste,Active,Public,World Bank,2013,,21 million,agriculture,"Challenge
Timor Leste’s agriculture sector sustains the livelihoods of 64% of the country’s labor force, but contributes to only around 10% of the economy. The unemployment rate is around 70%, while more than half of the population is under 25 years of age . Malnutrition and food insecurity are particularly pervasive in remote rural areas, often only accessible by horse or foot, and nearly all households exhaust their home-grown food supplies within nine months. These areas typically have rain-fed crop land used for unsustainable small-scale subsistence farming and large areas on steep slopes with infertile soils and are particularly vulnerable to weather shocks, like floods and off-season rains. 
Solution
SAPIP aims to improve incomes, food security, and nutrition in select areas of Timor Leste by improving country-led public sector investments to increase smallholder agricultural productivity. It also empowers farmers and links them to markets, strengthening adaptive research and extension institutions, reducing risk and vulnerability, improving rural non-farm livelihoods, and strategically deploying technical assistance. Further, the project supports municipal and watershed agriculture development planning, farm development initiatives, small-scale infrastructure and farm equipment, and the Ministry of Agriculture’s planning, financing, monitoring, and coordination functions. 
Activities focus on improved watershed management to enhance livelihoods and reduce climate-related vulnerability by improving water management and supporting commercial forestry for environmental rehabilitation. Farmer groups, associations, and cooperatives better engage women and young people. As SAPIP introduces new technologies, it plans to roll out training using the Farmer Field School model, spreading knowledge and skills on agriculture best practices and demonstrating the benefits and cost savings associated with working as a group. Additionally, the Food and Agriculture Organization of the United Nations (FAO) is supporting the government to strengthen its monitoring and evaluation functions.",,,,,,,,,,,,,,,,
Corredor Seco Food Security Project (ACS-PROSASUR),ACS-PROSASUR,,,,,,,Honduras,Active,Public,World Bank,2013,,30 million,agriculture,"Challenge
More than half of Hondurans live below the national poverty line of US$2.30 a day, with 46% living in in extreme poverty below US$1.81 a day. About half of the population is rural and accounts for 70% of the country’s poverty. Seventy two percent of agricultural families are dedicated to subsistence agriculture on small plots of land and the agriculture sector generates 38% of all employment and the majority of rural employment, yet the country is highly dependent on imports for its food needs. It is estimated that one in four children are undernourished and stunted. Agriculture productivity is low and vulnerable to external risks. And, Honduras has consistently been identified as one of the countries most affected by climate change, with more than 60 instances of extreme weather events over the past two decades. 
 
Solution
ACS-PROSASUR enhances the food and nutrition security of vulnerable households in select geographical locations in the Corredor Seco (dry corridor) of Honduras’s western and southern areas, where rural poverty is concentrated. The project increases household availability of quality food and incomes of poor rural residents as a basis for improving nutrition and reducing child stunting. The project also supports community child health and nutrition by focusing on access to diverse and quality foods, improved nutrition-related behavior, child growth monitoring, and improved hygiene at the household level. Activities include designing financially viable business plans and incremental food security plans to support small-scale rural producer organizations and small enterprises. This includes carrying out technical assistance, training, and extension services to increase food and agricultural production; introducing high-value crops, processing, and post-harvest processes; and expanding non-farm revenue generation and market links through on- and off-farm jobs. Investments to ensure food security for production of high-value crops are based on climate-smart initiatives intended to promote sustainability and adaptation.",,,,,,,,,,,,,,,,
Agriculture for Nutrition Programme (AFN),AFN,,,,,,,Lao PDR,Active,Public,"IFAD , WFP",2013,,30 million,agriculture,"Challenge
Undernutrition and food insecurity in Laos remain stubbornly high, with stunted children under five up to 61% in some provinces. Communities most prone to undernutrition live in upland areas, where the dominant household economic activities of agriculture and non-timber forest product extraction are increasingly constrained by unsustainable farming practices. Improving women’s nutrition is critical to breaking the inter-generational cycle of undernutrition and, given the negative impact that chronic undernutrition has on health, productivity, educational attainment, and income-earning ability, to sustained national economic growth. 
 
Solution
AFN reduces extreme poverty and malnutrition in the poorest communities in northern Laos by strengthening public services, establishing agriculture-based and community-driven nutrition interventions, promoting climate-resilient irrigation and water management based on the community approach, and forming sustainable and inclusive market-driven partnerships. Activities include establishing nutrition-sensitive agricultural production infrastructure, particularly micro-irrigation systems; creating Farmer Nutrition Schools, and establishing home gardens and financing activities that promote the availability of nutritious food for female-led households. Further, the project supports diversification from rice, the main staple food, which accounts for 72% of the total cultivated area, and promotes climate-smart, sustainable farming by introducing conservation farming techniques and agroforestry.",,,,,,,,,,,,,,,,
Agricultural Productivity and Market Enhancement Project (APMEP),APMEP,,,,,,,Zambia,Active,Public,AfDB,2013,,31.1 million,agriculture,"Solution
Project Description: About 70% of Zambia’s rural population rely on agriculture. APMEP targets the agriculture sector to support economic growth and poverty reduction by enhancing food security, income, and nutrition among participating households through the development of irrigation, aquaculture, and livestock production support; crop diversification and intensification; value chain development to promote agro-processing; and agriculture service centers. The project helps establish infrastructure to create job opportunities, including by constructing three livestock service centers in Chongwe, Chitambo, and Gwemb. Establishment of irrigation schemes and construction of agro-market centers, roadside markets, and access roads are expected to create more job opportunities for local communities. APMEP also supports strong nutrition and capacity development to train and deliver improved planting materials and technologies to farmers.",,,,,,,,,,,,,,,,
Small-Scale Irrigation and Value Addition Project (SIVAP),SIVAP,,,,,,,Kenya,Active,Public,"AfDB , FAO",2013,,24 million,agriculture,"Challenge
Agriculture is fundamental to Kenya’s overall economic growth. About 80% of the population lives in rural areas and derives its livelihoods largely from agriculture. Smallholder agriculture dominates the sector contributing 75% of the crops and livestock production. Farmers typically do not have access to agricultural inputs, like high-quality seeds, and have limited access to improved technology and markets. Kenya’s agriculture is largely rain fed, and often the quantity and reliability of rainfall has not been adequate to sustain crop production, leading to pervasive food insecurity. An estimated half of the population lacks year-round access to adequate food, and one in four children is estimated to suffer from stunted growth and chronic undernutrition.
Solution
SIVAP increases incomes, food security, and nutrition along the agriculture value chain by raising agricultural productivity and improving agricultural market access for poor and marginalized communities in 11 counties in arid and semi-arid regions. The project intends to increase the productivity of traditional high-value crops and small livestock by constructing new and rehabilitating existing irrigation schemes. The project also supports post-harvest processing and value addition by promoting agro-processing businesses and improved storage, access to finance and credit through local farmers’ organizations, and youth groups and registered women’s groups. Constructing rural roads and market outlets will strengthen market linkages between farmers, processors, rural and urban consumers, and export markets.",,,,,,,,,,,,,,,,
Project to Support Food Production and Build Resilience (PAPVIRE-ABC),PAPVIRE-ABC,,,,,,,Benin,Active,Public,AfDB,2013,,24 million,agriculture,"Challenge
In the Alibori, Borgou, and Collines Departments of Benin, the prevalence of food insecurity ranges 10–27%. These areas are subject to climatic hazards that cause drought and floods with serious consequences. For example, 70% of villages in Alibori 50% in Borgou, and 40% in Collines have experienced recurrent floods that have caused serious damage to crops and dwellings. These climatic factors, as well as limited market access, limited local product processing, and low producer prices, negatively impact household incomes, increase rural-urban migration, and exacerbate social conflicts over land and transhumance corridors use. 
 
Solution
PAPVIRE-ABC helps these departments boost food production by developing agricultural value chains through improved farm productivity, technological innovations, and promotion of agricultural entrepreneurship. Approaches include building resilience to climate change, ensuring sustainable management of agricultural and natural resources, increasing household incomes to alleviate the impact of poverty, and strengthening resilience and employment of women and youth. Activities include improving and managing agricultural infrastructure, such as irrigation schemes, farm-to-market roads, storage, and processing facilities; strengthening crop distribution and marketing systems; and ensuring access to certified seeds and quality fertilizer and pesticides. PAPVIRE-ABC also promotes dissemination and adoption of sustainable land conservation and regeneration techniques. Measures such as inclusion of grain legumes in crop rotation systems for soil improvement aim to help small-scale farmers adapt to climate change and better manage their natural resources.",,,,,,,,,,,,,,,,
Caribbean Coast Food Security Project (PAIPSAN),PAIPSAN,,,,,,,Nicaragua,Closed,Public,World Bank,2013,,33.9 million,agriculture,"Challenge
In Nicaragua, the agriculture sector is the single largest employer with more than 30% of the labor force, the main source of livelihood for close to 80% of rural households, and the majority of staple foods consumed are derived from small- and medium-scale farmers. The Caribbean coast is the country’s main agricultural frontier, accounting for 43% of the national territory, 23% of the agricultural area, nearly three quarters of the forest area, 70% of fishery production, and 35% of the cattle. However, agricultural growth is limited by post-harvest losses, weak agribusiness development services, lack of rural infrastructure, and climate change vulnerability.
Solution
PAIPSAN-CCN enhanced food security and nutrition in select communities of Nicaragua’s Caribbean coast. The project targeted small- and medium-scale landholders, rural laborers, producers’ organizations, and fisher communities with limited or no assets or equipment, including women and young people, and aligned with the sector-wide Rural Development Program, which focused on poor smallholders as active participants in their own sustainable human development to achieve food security and foster agricultural exports. PAIPSAN-CCN promoted increased agricultural productivity and environmental sustainability through participatorily designed innovation development plans for formal and informal groups of beneficiaries, such as cooperatives and producers’ associations, to improve and innovate their production and consolidate market opportunities. Activities included agricultural technology trainings and technical assistance for organized producers and creating and promoting income-producing employment activities, such as family-community micro-enterprises ranging from cabinet-making and fruit production to sustainable tourism in support of women and young people. The project also supported nutrition education to change behavior and raises awareness and knowledge about nutrition and the role of agriculture in improving nutrition outcomes.",,,,,,,,,,,,,,,,
