ID,Title,Country,,Type,Status,,Approval Date,Committment Amount,,Sector,Subsector,Category,Indigenous Peoples Category,Category,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,Summary
48409-004,Climate-Friendly Agribusiness Value Chains Sector Project,Lao People's Democratic Republic,Sovereign,Grant,Active,0585,7/30/2018,"40,500,000.00","Champasak, Khammouan, Salavan, Savannakhet, Sekong, Vientiane","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Irrigation | Rural market infrastructure",B,B,B,Southeast Asia Department,Ministry of Agriculture and Forestry (MAF),"Ancha, Srinivasan","The proposed project supports the implementation of the government's Agriculture Development Strategy to 2025 (ADS) by boosting the competitiveness of rice value chains in Khammouane, Saravan, and Savannakhet provinces, and vegetable value chains in Vientiane Capital, Champasak, and Sekong provinces. The project will improve the climate resilience of agricultural infrastructure, and enhance crop productivity, diversification, and commercialization. It will help improve the capacity for storage, processing, quality, and safety testing, and promote the use of biofertilizers and organic farming. It will strengthen the capacity of farmers and agribusinesses for climate-smart agriculture (CSA), and create an enabling environment for climate-friendly agribusinesses to promote sustainability along the value chain."
48409-002,Climate-Friendly Agribusiness Value Chains Sector Project,Cambodia,Sovereign,Grant | Loan,Active,0579 | 3661 | 8346,6/29/2018,"90,000,000.00","Kampong Cham Province, Kampot Province, Takeo, Tboung Khmum","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Irrigation | Rural market infrastructure | Rural solid waste management",B,B,B,Southeast Asia Department,"Ministry of Agriculture, Forestry & Fisheries","Ancha, Srinivasan","The proposed project supports fulfilling the government''s Agriculture Sector Strategic Development Plan and the Industrial Development Policy, by improving the competitiveness of agribusiness value chains in Kampong Cham and Tboung Khmum provinces along the Greater Mekong Subregion (GMS) southern economic corridor, and in Kampot and Takeo provinces along the south coastal economic corridor. The project will boost the climate resilience of critical agricultural infrastructure and help commercialize rice, maize, cassava, and mango production. It will help increase crop productivity and diversification; improve the capacity for storage, processing, and quality and safety testing; and promote the use of solar and bioenergy. It will strengthen the technical and institutional capacity for climate-smart agriculture (CSA) and create an enabling policy environment for climate-friendly agribusinesses. This will in turn promote long-term environmental sustainability and enhance the profitability for farmers and agribusinesses."
50165-002,Phuentsholing Township Development Project,Bhutan,Sovereign,Grant | Loan,Active,0573 | 0765 | 3668 | 4019,6/5/2018,"81,500,000.00",Phuentsholing,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural flood protection | Other urban services | Urban sanitation | Urban sewerage | Urban solid waste management | Urban water supply,A,C,C,South Asia Department,"Department of Macroeconomic Affairs, Ministry of Finance","Lhamo, Tashi","The proposed Amochhu Land Development and Township Project will develop 66 hectares (ha) of riparian land near the city of Phuentsholing that is located adjacent to the Amochhu River on Bhutans southwestern border with India. The project will provide protection from floods and erosion, and construct smart urban infrastructure to allow phased urban expansion. A modern township will be designed on modern sustainable principles of equity, livability, and competitiveness, and it will be integrated into the fabric of the existing municipality and preserve Bhutans unique architectural heritage. The project will also protect the existing and new towns from floods and riverbank erosion which currently threatens lives and livelihoods and disrupts connectivity with nearby communities."
45371-007,Madhya Pradesh Irrigation Efficiency Improvement Project,India,Sovereign,Loan,Active,3662,5/31/2018,"375,000,000.00",Madhya Pradesh,"Agriculture, natural resources and rural development",Agricultural production | Irrigation,B,C,B,South Asia Department,Water Resources Department Madhya Pradesh,"Mirzaev, Bakhodir","The Madhya Pradesh Irrigation Efficiency Improvement Project is designed to support higher irrigation efficiency and expansion of irrigation in Madhya Pradesh. It will focus on developing 125,000 hectares of new, highly efficient and climate resilient irrigation networks and productive command area under the Kundalia Irrigation Project. It will also finance a feasibility study and detailed designs for modernizing the existing Sanjay Sarovar Irrigation Project"
49026-002,Basic Infrastructure for Inclusive Growth in the Northeastern Provinces Sector Project,Viet Nam,Sovereign,Loan,Active,3633,12/15/2017,"150,000,000.00","Bac Kan, Cao Bang, Ha Giang, Lang Son","Agriculture, natural resources and rural development | Transport",Agricultural production | Rural market infrastructure | Rural water supply services | Road transport (non-urban),B,B,B,Southeast Asia Department,Provincial People's Committee of Bac Kan Province,"khuc, huong thi lan",The proposed project will (i) rehabilitate and upgrade about 265 kilometers of roads in the four northeastern provinces (NEPs); (ii) install 10 rural domestic water supply (RDWS) schemes; (iii) provide infrastructure support for agricultural and rural value chains (ARVC) in Lang Son; and (iv) strengthen provincial infrastructure asset management.
49026-003,Basic Infrastructure for Inclusive Growth in the North Central Provinces Sector Project,Viet Nam,Sovereign,Loan,Active,3634 | 3635,12/15/2017,"149,000,000.00","Tinh Ha Tinh, Tinh Nghe An, Tinh Quang Binh, Tinh Quang Tri","Agriculture, natural resources and rural development | Transport",Irrigation | Rural flood protection | Rural water supply services | Road transport (non-urban),B,B,B,Southeast Asia Department,Provincial People's Committee of Ha Tinh Province,"khuc, huong thi lan","- The project impact will accelerate socio-economic development of the four north central provinces (NCPs) in accordance with the Provincial Socio-economic Development Plans through 2020, with a vision to 2030 (PSEDP) and the Master Plan on Socio-economic Development of Viet Nam's Central Northern and Coastal Region through to 2020 (Master Plan). The project outcome will be service delivery in the four NCPs of Viet Nam of Ha Tinh, Nghe An, Quang Binh, Quang Tri improved.
- The proposed project will (i) rehabilitate and upgrade provincial road and district roads in the NCPs; (ii) support productive and business infrastructure including water supply networks, sea and river protection and drainage works with association river transport infrastructure, and supporting flood and irrigation command areas; and (iii) establish decentralized public asset management processes and established for road, water supply and irrigation infrastructure.
- The project will have an Asian Development Bank (ADB) sector modality and implement in total approximately 32 subprojects for outputs 1 and 2. Feasibility Studies (FS) have been prepared for the four representative subprojects   demonstrating subproject viability, and consequently overall project feasibility. Criteria for the eligibility, election, prioritization and preparation of additional subprojects have been agreed. A long list of additional subprojects has been identified, and the NCPs and ADB will carry out field screening to agree upon their inclusion in the project.
"
51181-001,Air Quality Improvement in the Greater Beijingâ€“Tianjinâ€“Hebei Regionâ€”Regional Emission-Reduction and Pollution-Control Facility,"China, People's Republic of",Sovereign,Loan,Active,3629,12/14/2017,"499,000,000.00","Beijing, Hebei, Henan, Inner Mongolia, Liaoning, Shandong, Shanxi, Tianjin","Agriculture, natural resources and rural development | Energy | Transport | Water and other urban infrastructure and services",Rural solid waste management | Energy efficiency and conservation | Renewable energy generation - geothermal | Renewable energy generation - solar | Multimodal logistics | Urban public transport | Other urban services,FI,FI,FI,East Asia Department,China Energy Conservation and Environmental Protection Group (CECEP),"Zhang, Lei","The proposed project is the third in a multiyear, multisector Asian Development Bank (ADB) support program for air quality improvement in the greater Beijing Tianjin Hebei (BTH) region. The first loan, approved in 2015, focused on reforming policy and strengthening regulatory capacity in Hebei province. The second loan, approved in 2016, targeted better access to finance, especially for small and medium sized-enterprises, to scale up investments in pollution-reduction projects in the region. This third project will complement the previous projects and will directly help remove barriers to deploying high technologies that could reduce air pollution from industries, urban infrastructure, and agriculture."
47381-005,Mahaweli Water Security Investment Program - Tranche 2,Sri Lanka,Sovereign,Loan,Active,3625 | 3626,12/13/2017,"210,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Water-based natural resources management,A,C,B,South Asia Department,,"Ranawana, Sanath","The Mahaweli Water Security Investment Program (the investment program) will accelerate the economic activities of Sri Lanka's northern dry zone region by transferring surplus water from the Mahaweli river basin for irrigation, drinking and commercial purposes. It will develop bulk water conveyance and storage infrastructure planned under the North Central Province Canal Program (NCPCP), a high priority program of the government that will support completion of the Mahaweli Development Program (MDP), which started in 1973.
Key components of the MDP were completed in the 1980s, notably several irrigation systems and large dams for hydropower; however, the planned components for water transfers to the northern dry zone were not implemented largely because of the prolonged conflict. After the conflict ended in 2009, the government prioritized completion of the MDP by initiating the NCPCP. The investment program supports the government's sector objective of ensuring water availability to water users, providing water in adequate quantities with improved management, enhancing productivity and water user efficiency, and addressing the spatial variation of water availability, climate change and disaster vulnerability, as described in the Public Investment Programme 2017-2020. The outcome will be access to water resources for agricultural and drinking purposes in project areas secured. 
ADB and the government signed the financing framework agreement (FFA) for the investment program on 23 April 2015. On 24 June 2015, the Board approved the provision of loans to Sri Lanka under a multitranche financing facility (MFF) of up to $453 million equivalent to be implemented between July 2015 and December 2024. The MFF comprises three tranches and uses the time-slicing approach with individual tranche outputs covering pieces of the overall facility's outputs: (i) new and improved water conveyance and storage infrastructure constructed; (ii) systems for improving water resources management productivity developed; and (iii) multidisciplinary investment program management operational. Output 1 under the investment program will implement three projects: (i) the Upper Elahera Canal Project (UECP) comprising about 101 kilometers (km) of water conveyance infrastructure linking the existing reservoirs at Kalu Ganga, Moragahakanda, Huruluwewa, Eruwewa, and Mahakanadarawa, which supply existing irrigation and town supply schemes; (ii) the North Western Province Canal Project (NWPCP) that will construct about 91 km of new and rehabilitated conveyance channels and two new reservoirs at Mahakithula and Mahakirula to transfer water from the Dambula Oya River and Wemedilla reservoir to command existing irrigation and town supply schemes; and (iii) the Minipe Left Bank Canal Rehabilitation Project (MLBCRP) that will increase storage in its head reservoir and rehabilitate about 74 km of existing canals to improve conveyance and reliability of service to existing farmers.
"
50278-001,Community Vegetable Farming for Livelihood Improvement,Mongolia,Sovereign,Grant,Active,0684 | 9192,12/4/2017,0,Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production",C,C,C,East Asia Department,,"Hinrichs, Jan F.","The Community Vegetable Farming for Livelihood Improvement project is a pilot initiative aiming to improve the livelihood of smallholders involved in vegetable production in selected soums of four of Mongolia's aimags: Bornuur in Tuv, Orkhon in Darkhan-Uul, Ulaangom in Uvs, and Yeruu in Selenge. This is to be achieved by introducing a community farming model, applying improved climate-resilient farming practices, strengthening farm-to-market linkages, and integrating farming groups into inclusive agriculture value chains. Project beneficiaries will be vegetable growers, seed producers, and household-based food processers across the four sites. The project has strong pro-poor and participatory features and will directly benefit at least 180 farming households (many of them female-headed) representing about 500 farmers and seed producers. Indirect benefit will accrue to the wider community in target soums with a total population of about 45,000 and beyond.
The additional financing from the High-Level Technology Fund (HLTF) was requested for the design, testing, and rolling out of one HLT winter greenhouse, particularly envisioned to be utilized for (i) consulting advisory for (a) a rapid assessment and technical viability study of the different types of winter greenhouse models suitable for the weather in Mongolia; (b) design and implementation of a winter greenhouse; and (c) a brief feasibility study for future scale-up and investment and project development; (ii) provision of required equipment and systems needed for piloting the HLT winter greenhouse, including the HLT systems for irrigation, heating, ventilation, and waste management; and (iii) conduct of required consultation workshops and training for technology and approaches being introduced and piloted within the project. The project will strengthen women's capacity and participation in vegetable value chain activities; and they are expected to significantly benefit from HLT greenhouse practices training provided by the project. Use of the HLTF for the subject grant presents a strong demonstration opportunity for replication in the country and region, in places with similar climate and has opportunities for scale-up.
"
46528-002,Jalalpur Irrigation Project,Pakistan,Sovereign,Loan,Active,3599,11/24/2017,"274,630,000.00",Jalalpur Sharif,"Agriculture, natural resources and rural development",Agricultural production | Irrigation,A,C,A,Central and West Asia Department,"Agriculture Department, Government of the Punjab","Zafar, Asad A.","The Jalalpur Irrigation Project (JIP) is located along right bank of River Jhelum in Punjab, Pakistan. It will create new non-perennial irrigation services for enhanced agricultural production on 79,750 ha in Pind Daden Khan and Khushab districts. The project will increase kharif crop intensity by 50%, improve crop yield and reduce land degradation. It will directly benefit over 200,000 rural people; mostly poor. The project will (i) construct over 200 km new irrigation canals, (ii) introduce institutional reforms and establish farmers' organizations (FOs), and (iii) build farmers capacity. The project will contribute to food security and economic growth and will alleviate rural poverty in the project area.
The project impact will be the increased agricultural production in the project area (Pind Daden Khan and Khushab districts). The project outcome will be irrigation water supplies and agricultural support services available in the project area. The project outputs will be (i) new irrigation canals and appurtenant structures constructed, (ii) farmers organizations established, (iii) private agriculture support services (PASS) available and (iv) capacity of the farmers and the staff from PID and Punjab Irrigation and Drainage Authority (PIDA) improved.
"
50288-001,Infrastructure Preparation and Innovation Facility,Philippines,Sovereign,Loan,Active,3589 | 3886,10/27/2017,"300,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban) | Transport policies and institutional development | Urban public transport,C,C,C,Southeast Asia Department,Department of Finance,"Kimura, Shuji","A technical assistance loan is proposed as the financing modality. The Project will directly support DPWH and DOTr to deliver more effective and more innovative infrastructure projects. The key benefits include: (i) effective identification, analysis, and planning for infrastructure gaps, especially roads, urban transport, urban water, sanitation, and flood management; (ii) addressing critical constraints such as resettlement processes and inadequate access to international knowledge, best practices, innovation, and technology; and (iii) implementation management of sophisticated public infrastructure projects with international expertise to supplement national expertise and resources. The Project will also help address key operational areas for ADB through gap analysis and support for country system development in key areas such as: (i) land acquisition; (ii) procurement; and (iii) start-up delays."
41435-013,Tonle Sap Poverty Reduction and Smallholder Development Project - Additional Financing (TSSD- AF),Cambodia,Sovereign,Loan,Active,0186 | 0191 | 0192 | 0542 | 2599 | 3570 | 8331,9/25/2017,"80,700,000.00","Kampong Cham, Kampong Cham, Siem Reap, Siem Reap, Sisophon, Sisophon, Stueng Saen, Stueng Saen","Agriculture, natural resources and rural development | Finance","Agricultural policy, institutional and capacity development | Agricultural production | Rural market infrastructure | Inclusive finance",B,B,B,Southeast Asia Department,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou","The Tonle Sap Poverty Reduction and Smallholder Development Project will foster community-driven development through investments in productivity improvement, rural infrastructure, and capacity development in 196 communes in the provinces of Banteay Meanchey, Kampong Cham, Kampong Thom, and Siem Reap. The Project will assist the Government in creating (i) community driven development through a commune block grant with the following three subcomponents: (a) improving rural infrastructure supporting agricultural productivity; (b) improving capacity of smallholder farmers; (c) strengthened commune project management capacity; (ii) enabling Environment for Agriculture Productivity and Diversification with the following subcomponents: (a) improving agricultural policy environment; (b) increasing availability of and access to quality seeds; and (c) increasing access to agricultural information and market data; and (iii) Effective Project Management."
49029-002,Xinjiang Changji Integrated Urban-Rural Infrastructure Demonstration Project,"China, People's Republic of",Sovereign,Loan,Active,3568,9/25/2017,"150,000,000.00","Fukang Shi, Hutubi Xian, Qitai Xian","Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Forestry | Land-based natural resources management | Technical and vocational education and training | Energy utility services | Urban roads and traffic management | Other urban services | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management | Urban water supply",B,B,A,East Asia Department,XUAR Finance Bureau,"Liu, Xinjian","Xinjiang Uygur Autonomous Region (Xinjiang) is located on the northwestern frontier of the PRC. It shares borders with eight countries and lies on the ancient Silk Road. Xinjiang''s rapid rate of economic growth (9.8%) and urbanization since the early 1990s has improved the overall economic well-being of its residents. Urumqi, the capital city of Xinjiang, serves as a regional transportation and logistics hub between the PRC and Central Asia. The value of Xinjiang''s international trade increased during 2001 -2013 at an average annual rate of 25.7%. However, Xinjiang remains one of the PRC''s least developed regions, and as such has been a beneficiary of the National Strategy for Development of the Western Region. The region also suffers from poor industrial performance and low educational attainment among workers. 
Changji Hui Autonomous Prefecture (Changji) covers an area of 73,140 square kilometers, and is situated on a narrow piedmont plain between the Tianshan mountain ranges in the south and the Gurbantunggut Desert in the north; the corridor (40 -80 kilometers [km] in width) contains settlements, agriculture, and industries. Changji surrounds Urumqi; Changji City (seat of the prefecture) is located 30 km from Urumqi. Changji is located at the center of the Northern Tianshan economic zone, the Urumqi -Changji -Shihezi city cluster, and the Urumqi -Changji economic corridor. This location gives Changji an important role, and some key service activities provided by Urumqi have been relocated to Changji. It is urbanizing rapidly reflecting the PRC''s strategy to accelerate the development of the western regions and its policy to promote regional economic cooperation with neighboring countries, but the Prefecture''s economic development is constrained by significant deficiencies in urban infrastructure and environmental management, including (i) inadequate connectivity of Changji''s cities and towns to the major corridor, (ii) poor service-level solid waste management, (iii) rapid depletion of groundwater supplies, (iv) soil erosion caused by geologic and severe climatic conditions, and (v) weak urban management capacity. Changji''s favorable location and its potential for economic growth encourages companies and industries to locate there, and has resulted in increased pressure on the environment and the inadequate, poorly performing urban infrastructure.
"
48468-002,Guizhou Rocky Desertification Area Water Management Project,"China, People's Republic of",Sovereign,Loan,Active,3564,9/20/2017,"150,000,000.00",Guizhou Sheng,"Agriculture, natural resources and rural development",Irrigation | Land-based natural resources management | Rural water supply services | Water-based natural resources management,A,B,A,East Asia Department,Guizhou Provincial Finance Department (GFD),"Kobayashi, Yoshiaki","The project is aligned with the following impact: livelihoods of people living in rocky desertification areas improved (Guizhou Provincial Government. 2011. Guizhou Provincial Master Plan for Water Resources Development, Ecological Improvement, and Rocky Desertification Management. Guiyang). The project will have the following outcome: rocky desertification area reduced. The project will have two outputs: (i) water resources conserved and (ii) environment, ecology, and land productivity restored."
48274-002,Shanxi Urban-Rural Water Source Protection and Environmental Demonstration Project,"China, People's Republic of",Sovereign,Loan,Active,3557,8/22/2017,"100,000,000.00",Zuoquan Xian,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Forestry | Rural flood protection | Rural water supply services | Urban roads and traffic management | Urban flood protection | Urban sewerage,B,C,A,East Asia Department,Zuoquan County Government,"Yee, Au Shion","The impact of the project will be improved quality of life and environmental sustainability in Zuoquan County. The outcome of the project will be improved and integrated river basin management in Zuoquan County. The project will include four outputs: (i) water source protection of the Qingzhang headwaters, (ii) Qingzhang River rehabilitation and integrated low-impact facilities, (iii) inclusive water supply and wastewater collection services, and (iv) strengthened institutional capacity.
Output 1 will support (i) re-vegetation around the Shixia Reservoir and planting of forest belt along two headwaters for about 12,800 hectares (ha); (ii) installation of the Shixia Reservoir spillway gates; (iii) construction of a flood-discharging and washout tunnel; and (iv) construction of five hydrological and water quality monitoring stations with telecommunication system in the Shixia Reservoir catchment.
Output 2 will support (i) dredging of selected sections of the Qingzhang River which are heavily silted (about 11.6 kilometers [km]); (ii) rehabilitation of the Qingzhang River, and construction of embankment (about 8.9 km); (iii) construction of wetland of about 35.35 ha and associated river amenity facilities; and (iv) low-impact design (sponge city concept) for Binhe road expansion and stormwater drain installation. 
Output 3 will support (i) construction of 45.3-km raw water transmission pipelines and expansion of a pumping station; (ii) construction of 48.3-km water distribution pipelines and expansion of four pumping stations; (iii) replacement of 36.5-km existing water supply pipelines and construction of two rural domestic water treatment stations; (iv) expansion of the Zuoquan County wastewater treatment plant from 10,000 m3 per day to 15,000 m3 per day, with improvement of treatment technologies and renovation of some equipment; (v) construction of 4.97-km trunk sewers; (vi) replacement of 1.29-km existing main sewer pipelines; and reconstruction of four overflow manholes.
Output 4 will support institutional and capacity development for (i) project management; (ii) improvement of existing flood warning system; (iii) integrated urban rural water supply, and (iv) action plan for sponge city design for new city district development.
"
40156-033,Sustainable Coastal Protection and Management Investment Program - Tranche 2,India,Sovereign,Loan,Closed,3549,7/27/2017,"65,500,000.00",Karnataka,"Agriculture, natural resources and rural development",Water-based natural resources management,B,C,B,South Asia Department,"Public Works, Ports & Inland Water Transport Dept. - Karnataka","Yadav, Rajesh","The Sustainable Coastal Protection and Management Investment Program aims to address immediate coastal protection needs and coastal instability using environmentally and socially appropriate solutions, with a focus on softer options such as artificial reefs, beach nourishments, and dune management. The program also aims to protect the coastline from erosion and in so doing enhances income-generating opportunities for coastal communities. Tranche 2 will support nine subprojects consisting of six coastal protection subprojects designed to address the issues of medium to severe coastal erosion and three community subprojects for areas of low erosion resulting in the protection of approximately 54 km of coastline in Karnataka. Activities will include: (i) addressing immediate coastal protection needs; (ii) capacity building and institutional development; (iii) modeling and other analytical works to assess the impacts of climate change on selected sections of the coast; and (iv) comprehensive nearshore sea bed sand resources analysis designed to assess the issues of sand deficits of selected Karnataka beaches. It will continue to support strengthening of the executing agency on the long term activities on coastal planning and management that would continue after the end of the project period."
46436-003,Samoa AgriBusiness Support - Additional Financing,Samoa,Sovereign,Grant,Active,0539,7/18/2017,0,,Agriculture and Natural Resources,"Agriculture, natural resources and rural development",,,,Pacific Department,Ministry of Finance,"Nizami, Masudur R.","The project will promote commercializing and exporting agricultural produce and processed products along agro-value chains to stimulate agriculture's role in economic growth and poverty reduction in Samoa. It will provide business support services and financing to agribusinesses.
The project is cofinanced with the Government of Australia.
"
42203-025,Northern Rural Infrastructure Development Sector Project - Additional Financing,Lao People's Democratic Republic,Sovereign,Grant,Active,0534,5/31/2017,"35,600,000.00","Bokeo, Khoueng Oudomxai, Luang Namtha, Phongsali","Agriculture, natural resources and rural development | Transport",Agricultural production | Irrigation | Land-based natural resources management | Water-based natural resources management | Road transport (non-urban),B,B,B,Southeast Asia Department,Ministry of Agriculture and Forestry-Irrigation Dep,"Chanthy, Khamtanh",
43220-014,Integrated Participatory Development and Management of Irrigation Program,Indonesia,Sovereign,Loan,Active,3529 | 8327,5/18/2017,"500,000,000.00","Banyumas, Bireun, Bojonegoro, Ciamis, Dompu, East Manggarai Regency, Indramayu, Jember, Jombang, Kabupaten Aceh Besar, Kabupaten Aceh Timur, Kabupaten Aceh Utara, Kabupaten Asahan, Kabupaten Banggai, Kabupaten Banjarnegara, Kabupaten Banyu Asin, Kabupaten Barito Kuala, Kabupaten Bima, Kabupaten Bolaang Mongondow, Kabupaten Bone, Kabupaten Cilacap, Kabupaten Empat Lawang, Kabupaten Garut, Kabupaten Hulu Sungai Tengah, Kabupaten Humbang Hasundutan, Kabupaten Kebumen, Kabupaten Ketapang, Kabupaten Lampung Tengah, Kabupaten Lima Puluh Kota, Kabupaten Lombok Tengah, Kabupaten Lombok Timur, Kabupaten Manggarai Barat, Kabupaten Minahasa Selatan, Kabupaten Muara Enim, Kabupaten Musi Banyuasin, Kabupaten Musi Rawas, Kabupaten Ngawi, Kabupaten Ogan Komering Ulu Selatan, Kabupaten Pasaman, Kabupaten Pasaman Barat, Kabupaten Pesisir Selatan, Kabupaten Pinrang, Kabupaten Purworejo, Kabupaten Sambas, Kabupaten Sidenreng Rappang, Kabupaten Sijunjung, Kabupaten Simalungun, Kabupaten Soppeng, Kabupaten Tanah Bumbu, Kabupaten Tapanuli Tengah, Kabupaten Tapin, Kabupaten Tulangbawang, Kabupaten Wajo, Kediri, Kubu Raya Regency, Kuningan, Lahat, Lamongan, Lumajang, Madiun, Majalengka, Mesuji, North Kayong Regency, Pandeglang, Pati, Pekalongan, Pesawaran Regency, Poso, Serang, Sukabumi, Sumedang, Tanggamus Regency, Tolitoli Regency, Tuban","Agriculture, natural resources and rural development",Irrigation,B,B,B,Southeast Asia Department,Directorate General of Water Resources,Eric Quincieu,"The program will support the Government of Indonesia in implementing its irrigation improvement program (IIP), 2015 2025, which advances the overarching agenda of food security and rural poverty reduction through increased and improved water delivery. The focus of the ADB support will be on improving irrigation system operation, maintenance, and water delivery to farmers. The program will finance a time slice of the government's IIP in 74 districts across 16 provinces from 2017 to 2021. The International Fund for Agricultural Development (IFAD) is providing parallel financing to the Ministry of Agriculture for improved delivery of agricultural services to maximize the benefits of the irrigation improvements."
49325-003,Northern Province Sustainable Fisheries Development Project (PDA),Sri Lanka,Sovereign,Loan,Closed,6011,3/8/2017,"1,300,000.00","Jaffna District, Kilinochchi District, Mannar District, Mullaitivu District","Agriculture, natural resources and rural development",Fishery,C,C,C,South Asia Department,Ministry of Fisheries and Aquatic Resources (formerly Ministry of Fisheries and Aquatic Resources Development and Rural Economic Affairs),"Halgamage Don, Sudarshana Anojan Jayasundara","The Northern Province Sustainable Fisheries Development Project will support investments to revive the fisheries sector in the conflict affected coastal districts of Jaffna, Mannar, Mullaitivu, and Killinochchi. Investments are required to (i) rebuild large scale infrastructure, such as harbors, anchorages, and associated facilities, (ii) introduce new fishery technologies, (iii) expand aquaculture sustainably (iv) strengthen community based organizations and related institutions, and (v) develop economic activities for households headed by women, war widows and single women. The is aligned with the following impacts: (i) investments in the fishery subsector promoted, and (ii) employment and livelihood opportunities in the Northern Province promoted. The outcome will be fishery production and livelihood opportunities in four coastal districts of the Northern Province increased. The proposed outputs will be: (i) Marine fisheries infrastructure constructed; (ii) Aquaculture developed; and (iii) entrepreneurial skills, market links and credit access for local communities; and capacities of government staff strengthened;. The Project Design Advance supports the preparation of detailed designs and procurement for output 1."
48055-002,Jiangxi Xinyu Kongmu River Watershed Flood Control and Environmental Improvement Project,"China, People's Republic of",Sovereign,Loan,Active,3485,12/6/2016,"150,000,000.00",Xinyu,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural flood protection | Water-based natural resources management | Urban flood protection | Urban sanitation | Urban solid waste management,B,C,A,East Asia Department,Xinyu City Government,"Zheng, Baochang","The project will demonstrate harmonization of development and flood and environmental management in the river basin that is a manageable size for project level intervention, using an integrated river basin model. One demonstration will be an introduction of innovative storm water management systems. Urban development increases storm water runoff by cutting trees and covering grounds with concrete or asphalt. Innovative storm water management systems reduce peak storm water runoff by promoting storm water infiltration into soil and increasing storm water retention. The demonstration and the river basin model can be replicated in other many similar-sized river basins, particularly where development is anticipated. Potential climate change impact assessment and sensitivity analysis of flood control structures' capacities will be conducted based on climate change modeling. The use of sensitivity analysis to examine potential climate change impacts and risks of flood control structures can be also replicated to other projects. The project will help XCG review Xinyu City Master Plan for 2008 6 2030 and revisit city's infrastructure planning, which will be another ADB's value addition.
<br>
<br>The project is consistent with (i) a decision of the Third Plenary Session of the 18th Central Committee of the Communist Party of China held in Beijing in November 2013, which supports construction of eco-civilization and establishment of a system to protect ecological environment; (ii) ADB's recommendations for preparation of the Thirteenth Five-Year Plan of the People's Republic of China (PRC), 2016 2020, and ADB's upcoming Country Partnership Strategy for the PRC, 2016 2020, which supports or seems to support improvement of water security; (iii) ADB's strategy 2020 and the midterm review of the strategy that prioritize natural resource management; , and (iv) ADB's Water Operational Plan, 2011 2020 which prioritizes integrated water resources management and efficiency and productivity in the delivery of water services.
<br>
<br>ADB has been supporting projects on flood, waterlogging, and environmental management in the PRC and other countries. Lessons learned from those projects, such as international best practices for flood and waterlogging management, and nonstructural measures for flood and environmental management will be reflected in the project design.
"
47305-002,Horticulture Value Chain Development Project,Uzbekistan,Sovereign,Loan,Active,3471 | 3673,11/25/2016,"352,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance","Agricultural policy, institutional and capacity development | Agro-industry, marketing, and trade | Land-based natural resources management | Small and medium enterprise finance and leasing",FI,FI-C,FI-C,Central and West Asia Department,Agency for Implementation of Projects in the Field of Agro-Industry and Food Security (AIFSA),"Katayama, Hiroki","The project will provide a loan to the Republic of Uzbekistan to channel through qualified participating financial institutions (PFI's) who will on-lend to horticulture-related farmers and businesses for fixed asset investments such as intensive orchards, cold storages, processing and packaging equipment. The project will address the critical constraint lack of long term resources in the Uzbekistan banking system. Since horticulture sector has high value produces, the project will contribute significantly to creating sustainable enterprises, increasing employment, and improving household income. Key lessons learnt from previous and ongoing projects financed by ADB and development partners are taken into account in the project design: (i) there needs be a dedicated project management office, other than the Ministry of Finance, to monitor the PFIs' lending activities and safeguards compliance; and (ii) terms and conditions of PFIs' subloans must be business- and demand-based without any government interventions."
