Project Name,Project ID,Region,Status,Country,Implementing Agency,Project URL,Year Approved,Current Project Cost,Total IDA and IBRD Commitment,Grant Amount,Borrower,Environmental Assessment Category
Irrigation Development Project,P055022,Europe and Central Asia,Closed,Republic of Armenia,,https://projects.worldbank.org/en/projects-operations/project-detail/P055022,2001-08-30T00:00:00Z,30820000,30820000,,,B
Rural Land Management Supplemental Project (Supplemental PAAR),P075199,Latin America and Caribbean,Closed,Republic of Honduras,,https://projects.worldbank.org/en/projects-operations/project-detail/P075199,2001-08-02T00:00:00Z,9670000,9670000,,,B
Foot & Mouth Disease Emergency Recovery Loan,P074543,Latin America and Caribbean,Closed,Oriental Republic of Uruguay,,https://projects.worldbank.org/en/projects-operations/project-detail/P074543,2001-07-31T00:00:00Z,24000000,24000000,,,B
Economic Reform Support Credit (03),P050619,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P050619,2001-07-26T00:00:00Z,110000000,110000000,,,U
Agricultural Reform Implementation Project (ARIP),P070286,Europe and Central Asia,Closed,Republic of Turkiye,,https://projects.worldbank.org/en/projects-operations/project-detail/P070286,2001-07-12T00:00:00Z,661960000,661960000,,,B
HIV/AIDS Program Development Project,P070291,Western and Central Africa,Closed,Federal Republic of Nigeria,,https://projects.worldbank.org/en/projects-operations/project-detail/P070291,2001-07-06T00:00:00Z,96281641,96281641,,,B
Poverty Reduction and Local Rural Development (PROLOCAL),P039437,Latin America and Caribbean,Closed,Republic of Ecuador,,https://projects.worldbank.org/en/projects-operations/project-detail/P039437,2001-07-05T00:00:00Z,41960000,41960000,,,B
Lower Kihansi Environmental Management Project,P073397,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P073397,2001-07-03T00:00:00Z,6400000,6400000,,,C
Agriculture Sector Adjustment Loan 2 (ASAL 2),P057926,Europe and Central Asia,Closed,Republic of Bulgaria,,https://projects.worldbank.org/en/projects-operations/project-detail/P057926,2001-06-28T00:00:00Z,50000000,50000000,,,C
Irrigation & Drainage Community Development Project,P055068,Europe and Central Asia,Closed,Georgia,,https://projects.worldbank.org/en/projects-operations/project-detail/P055068,2001-06-28T00:00:00Z,32800000,32800000,,,B
Rural Poverty Reduction Project - Pernambuco,P050880,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P050880,2001-06-26T00:00:00Z,40000000,40000000,,,B
Structural Adjustment Credit 2 (SAC 2),P046047,Europe and Central Asia,Closed,Republic of Tajikistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P046047,2001-06-26T00:00:00Z,50000000,50000000,,,U
Rural Poverty Reduction Project -Ceara,P050875,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P050875,2001-06-26T00:00:00Z,50000000,50000000,,,B
Rural Poverty Reduction Project - Bahia,P057649,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P057649,2001-06-26T00:00:00Z,75000000,75000000,,,B
AGRICULTURAL SUPPORT SERVICES PROJECT,P005750,Middle East and North Africa,Closed,Republic of Tunisia,,https://projects.worldbank.org/en/projects-operations/project-detail/P005750,2001-06-26T00:00:00Z,42450000,42450000,,,B
Community Based Rural Infrastructure Project,P062748,East Asia and Pacific,Closed,Socialist Republic of Vietnam,,https://projects.worldbank.org/en/projects-operations/project-detail/P062748,2001-06-26T00:00:00Z,123410000,123410000,,,B
Rural Poverty Reduction Project - Piaui,P050881,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P050881,2001-06-26T00:00:00Z,30000000,30000000,,,B
KARNATAKA WATERSHED DEVELOPMENT PROJECT,P067216,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P067216,2001-06-21T00:00:00Z,127600000,127600000,,,B
Rural Development Support Project,P051922,Eastern and Southern Africa,Closed,Republic of Madagascar,,https://projects.worldbank.org/en/projects-operations/project-detail/P051922,2001-06-19T00:00:00Z,106090000,106090000,,,B
Supplemental Credit for Social Fund Project (02),P073310,East Asia and Pacific,Closed,Kingdom of Cambodia,,https://projects.worldbank.org/en/projects-operations/project-detail/P073310,2001-06-19T00:00:00Z,10000000,10000000,,,B
Cameroon III IDA Reflows 5th Dimension,P075024,Western and Central Africa,Closed,Republic of Cameroon,,https://projects.worldbank.org/en/projects-operations/project-detail/P075024,2001-06-15T00:00:00Z,7800000,7800000,,,U
National Fertilizer Sector Project - SUPPLEMENTAL CREDIT,P073307,Eastern and Southern Africa,Closed,Federal Democratic Republic of Ethiopia,,https://projects.worldbank.org/en/projects-operations/project-detail/P073307,2001-06-14T00:00:00Z,44000000,44000000,,,C
Agriculture Services Project,P054736,Europe and Central Asia,Closed,Republic of Albania,,https://projects.worldbank.org/en/projects-operations/project-detail/P054736,2001-06-14T00:00:00Z,12197000,12197000,,,F
Noth West Frontier Province On-Farm Water Management Project,P071092,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P071092,2001-06-12T00:00:00Z,32050000,32050000,,,B
Syr Darya Control & Northern Aral Sea Phase I Project,P046045,Europe and Central Asia,Closed,Republic of Kazakhstan,,https://projects.worldbank.org/en/projects-operations/project-detail/P046045,2001-06-05T00:00:00Z,85790000,85790000,,,A
IRRIGATION BASED COMMUNITY DEVELOPMENT,P056978,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P056978,2001-05-31T00:00:00Z,42400000,42400000,,,B
Agricultural Development Project,P065973,East Asia and Pacific,Closed,Lao People's Democratic Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P065973,2001-05-29T00:00:00Z,18210000,18210000,,,B
Community Development Project,P055166,Eastern and Southern Africa,Closed,Republic of Madagascar,,https://projects.worldbank.org/en/projects-operations/project-detail/P055166,2001-04-19T00:00:00Z,137000000,137000000,,,F
RURAL SECTOR SUPPORT PROJECT,P064965,Eastern and Southern Africa,Closed,Republic of Rwanda,,https://projects.worldbank.org/en/projects-operations/project-detail/P064965,2001-03-29T00:00:00Z,50180000,50180000,,,B
Rural Finance Project (APL #1),P056891,Europe and Central Asia,Closed,Romania,,https://projects.worldbank.org/en/projects-operations/project-detail/P056891,2001-03-29T00:00:00Z,147609399,147609399,,,F
PERAC,P061577,Western and Central Africa,Closed,Republic of Benin,,https://projects.worldbank.org/en/projects-operations/project-detail/P061577,2001-03-22T00:00:00Z,10000000,10000000,,,U
Cambodia: Flood Emergency Rehabilitation Project,P073394,East Asia and Pacific,Closed,Kingdom of Cambodia,,https://projects.worldbank.org/en/projects-operations/project-detail/P073394,2001-03-13T00:00:00Z,40400000,40400000,,,B
FARM PRIVATIZATION SUPPORT SUPPLEMENTAL PROJECT,P072760,Europe and Central Asia,Closed,Republic of Tajikistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P072760,2001-02-22T00:00:00Z,3600000,3600000,,,B
National Agricultural Advisory Services Project,P044695,Eastern and Southern Africa,Closed,Republic of Uganda,,https://projects.worldbank.org/en/projects-operations/project-detail/P044695,2001-02-15T00:00:00Z,107920000,107920000,,,B
Indigenous Peoples Development Project,P057416,Latin America and Caribbean,Closed,Plurinational State of Bolivia,,https://projects.worldbank.org/en/projects-operations/project-detail/P057416,2001-02-14T00:00:00Z,3500000,3500000,,,B
IDA Reflow - PSAC I,P074528,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P074528,2001-01-29T00:00:00Z,770000,770000,,,U
Economic & Public Sector Reform Credit - FY01 IDA Reflows,P074338,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P074338,2001-01-24T00:00:00Z,3200000,3200000,,,U
Land Administration Project,P050595,Latin America and Caribbean,Closed,Republic of Panama,,https://projects.worldbank.org/en/projects-operations/project-detail/P050595,2001-01-16T00:00:00Z,58570000,58570000,,,B
IDA REF- ADJ(FRDP III),P073831,Eastern and Southern Africa,Closed,Republic of Malawi,,https://projects.worldbank.org/en/projects-operations/project-detail/P073831,2000-12-22T00:00:00Z,500000,500000,,,U
Supplemental to the Economic Recovery Credit,P073330,Eastern and Southern Africa,Closed,Republic of Rwanda,,https://projects.worldbank.org/en/projects-operations/project-detail/P073330,2000-12-22T00:00:00Z,15300000,15300000,,,U
Fiscal Restructuring and Deregulation Program Project (03),P050294,Eastern and Southern Africa,Closed,Republic of Malawi,,https://projects.worldbank.org/en/projects-operations/project-detail/P050294,2000-12-21T00:00:00Z,55600000,55600000,,,U
Fiscal Restructuring and Deregulation Program Technical Assistance Project (03),P073832,Eastern and Southern Africa,Closed,Republic of Malawi,,https://projects.worldbank.org/en/projects-operations/project-detail/P073832,2000-12-21T00:00:00Z,3000000,3000000,,,C
Water Conservation Project,P056516,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P056516,2000-12-19T00:00:00Z,185670000,185670000,,,B
COMMUNITY-BASED RURAL DEVELOPMENT PROJECT,P035673,Western and Central Africa,Closed,Burkina Faso,,https://projects.worldbank.org/en/projects-operations/project-detail/P035673,2000-11-30T00:00:00Z,114850000,114850000,"11,500,000",,B
Land-Based Poverty Alleviation Project I,P050772,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P050772,2000-11-30T00:00:00Z,436400000,436400000,,,B
Access to Land Pilot (PACTA),P073035,Latin America and Caribbean,Closed,Republic of Honduras,,https://projects.worldbank.org/en/projects-operations/project-detail/P073035,2000-11-28T00:00:00Z,17000164.01,17000164.01,,,B
Emergency Reconstruction,P044674,Eastern and Southern Africa,Closed,State of Eritrea,,https://projects.worldbank.org/en/projects-operations/project-detail/P044674,2000-11-22T00:00:00Z,230900700,230900700,,,C
Madhya Pradesh District Poverty Initiatives Project,P059242,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P059242,2000-11-07T00:00:00Z,134700000,134700000,,,F
Public Resource Management Credit Project,P069909,Eastern and Southern Africa,Closed,Democratic Republic of Sao Tome and Prin,,https://projects.worldbank.org/en/projects-operations/project-detail/P069909,2000-11-02T00:00:00Z,7500000,7500000,,,U
Sustainable Fisheries Management Project,P057459,Latin America and Caribbean,Closed,Argentine Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P057459,2000-09-19T00:00:00Z,8500000,8500000,,,C
Indigenous Community Development LIL,P057473,Latin America and Caribbean,Closed,Argentine Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P057473,2000-09-18T00:00:00Z,5880000,5880000,,,B
Erso II Supplemental,P071396,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P071396,2000-09-07T00:00:00Z,49000000,49000000,,,U
IRRIGATION IMPROVEMENT PROJECT,P062714,Middle East and North Africa,Closed,Republic of Yemen,,https://projects.worldbank.org/en/projects-operations/project-detail/P062714,2000-09-07T00:00:00Z,25600000,25600000,,,B
Agricultural Services Subsector Investment Project,P000968,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P000968,2000-08-01T00:00:00Z,123730000,123730000,,,B
Economic and Public Sector Reform Credit Project,P069501,Eastern and Southern Africa,Closed,Republic of Kenya,,https://projects.worldbank.org/en/projects-operations/project-detail/P069501,2000-08-01T00:00:00Z,150000000,150000000,,,U
Structural Adjustment Loan 2 (SAL 2),P068706,Europe and Central Asia,Closed,Republic of Lithuania,,https://projects.worldbank.org/en/projects-operations/project-detail/P068706,2000-07-25T00:00:00Z,100375000,100375000,,,U
IDA Reflows,P071467,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P071467,2000-06-30T00:00:00Z,1195191,1195191,,,U
National Rural Infrastructure Project,P041723,Western and Central Africa,Closed,Republic of Mali,,https://projects.worldbank.org/en/projects-operations/project-detail/P041723,2000-06-27T00:00:00Z,139273000,139273000,,,B
Water Sector Investment Loan Project,P035707,Middle East and North Africa,Closed,Republic of Tunisia,,https://projects.worldbank.org/en/projects-operations/project-detail/P035707,2000-06-22T00:00:00Z,258000000,258000000,,,B
Rural Infrastructure Rehabilitation Project,P058898,Europe and Central Asia,Closed,Republic of Tajikistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P058898,2000-06-22T00:00:00Z,24000000,24000000,,,B
Rehabilitation & Completion of Irrigation & Drainage Infrastructure Project,P008284,Europe and Central Asia,Closed,Republic of Azerbaijan,,https://projects.worldbank.org/en/projects-operations/project-detail/P008284,2000-06-22T00:00:00Z,46860000,46860000,,,B
Programmatic Structural Adjustment Credit  CR.no.3379-TA,P002822,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P002822,2000-06-15T00:00:00Z,245000000,245000000,,,U
The Second National Drainage Project,P045499,Middle East and North Africa,Closed,Arab Republic of Egypt,Egyptian Public Authority for Drainage Projects,https://projects.worldbank.org/en/projects-operations/project-detail/P045499,2000-06-15T00:00:00Z,143600000,143600000,,,B
GOVERNANCE PROMOTION ADJUSTMENT LOAN,P069771,East Asia and Pacific,Closed,The Independent State of Papua New Guine,,https://projects.worldbank.org/en/projects-operations/project-detail/P069771,2000-06-13T00:00:00Z,140000000,140000000,,,U
Ecomarkets Project,P052009,Latin America and Caribbean,Closed,Republic of Costa Rica,,https://projects.worldbank.org/en/projects-operations/project-detail/P052009,2000-06-06T00:00:00Z,41230000,41230000,,,B
SAC III -  IDA Reflows II,P071293,Western and Central Africa,Closed,Republic of Cameroon,,https://projects.worldbank.org/en/projects-operations/project-detail/P071293,2000-06-06T00:00:00Z,11000000,11000000,,,U
On-Farm Irrigation Project,P049723,Europe and Central Asia,Closed,Kyrgyz Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P049723,2000-06-06T00:00:00Z,29000000,29000000,,,B
Agricultural Technology & Rural Technical Education Project,P064915,Latin America and Caribbean,Closed,Republic of Nicaragua,,https://projects.worldbank.org/en/projects-operations/project-detail/P064915,2000-06-06T00:00:00Z,38280000,38280000,,,B
Forest Concession Management and Control Pilot Project,P060003,East Asia and Pacific,Closed,Kingdom of Cambodia,,https://projects.worldbank.org/en/projects-operations/project-detail/P060003,2000-06-05T00:00:00Z,5421800,5421800,,,B
Coastal and Marine Biodiversity Management Project,P070305,Eastern and Southern Africa,Closed,Republic of Mozambique,,https://projects.worldbank.org/en/projects-operations/project-detail/P070305,2000-06-01T00:00:00Z,5600000,5600000,,,B
Sustainable Forestry Pilot Project,P053830,Europe and Central Asia,Closed,Russian Federation,,https://projects.worldbank.org/en/projects-operations/project-detail/P053830,2000-05-23T00:00:00Z,74500000,74500000,,,B
Economic Reform Loan (ERL),P068792,Europe and Central Asia,Closed,Republic of Turkiye,,https://projects.worldbank.org/en/projects-operations/project-detail/P068792,2000-05-18T00:00:00Z,759600000,759600000,,,U
"Agricultural Research, Extension & Training Project",P065715,Europe and Central Asia,Closed,Georgia,,https://projects.worldbank.org/en/projects-operations/project-detail/P065715,2000-05-11T00:00:00Z,8860000,8860000,,,C
Social Investment Fund 2 Project (SIF 2),P057952,Europe and Central Asia,Closed,Republic of Armenia,,https://projects.worldbank.org/en/projects-operations/project-detail/P057952,2000-05-11T00:00:00Z,29318335.8,29318335.8,,,F
SIERRA NEVADA SUSTAINABLE DEVELOPMENT PROJECT,P057326,Latin America and Caribbean,Closed,Republic of Colombia,,https://projects.worldbank.org/en/projects-operations/project-detail/P057326,2000-05-02T00:00:00Z,6250000,6250000,,,B
RAJASTHAN DISTRICT POVERTY INITIATIVES PROJECT,P010505,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P010505,2000-04-25T00:00:00Z,124790000,124790000,,,B
Emergency Economic Recovery Credit Project,P064556,Eastern and Southern Africa,Closed,Republic of Burundi,,https://projects.worldbank.org/en/projects-operations/project-detail/P064556,2000-04-25T00:00:00Z,40000000,40000000,,,C
Flood Emergency Recovery Project,P070432,Eastern and Southern Africa,Closed,Republic of Mozambique,,https://projects.worldbank.org/en/projects-operations/project-detail/P070432,2000-04-20T00:00:00Z,30000000,30000000,,,C
Structural Adjustment Credit Project,P058544,East Asia and Pacific,Closed,Kingdom of Cambodia,,https://projects.worldbank.org/en/projects-operations/project-detail/P058544,2000-02-29T00:00:00Z,30000000,30000000,,,U
Biodiversity and Protected Areas Management Project,P065798,East Asia and Pacific,Closed,Kingdom of Cambodia,,https://projects.worldbank.org/en/projects-operations/project-detail/P065798,2000-02-08T00:00:00Z,2160000,2160000,,,B
Agricultural Support Services Project,P043882,Europe and Central Asia,Closed,Romania,,https://projects.worldbank.org/en/projects-operations/project-detail/P043882,2000-01-27T00:00:00Z,17820000,17820000,,,C
Smallholder Cattle Development Project,P045264,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P045264,1999-12-22T00:00:00Z,180800000,180800000,,,B
COMMUNITY REINTEGRATION & REHABILITATION,P040649,Western and Central Africa,Closed,Republic of Sierra Leone,,https://projects.worldbank.org/en/projects-operations/project-detail/P040649,1999-12-21T00:00:00Z,41340000,41340000,,,B
Community Development Support Project,P058050,Eastern and Southern Africa,Closed,Kingdom of Lesotho,,https://projects.worldbank.org/en/projects-operations/project-detail/P058050,1999-12-20T00:00:00Z,10440000,10440000,,,B
Fiscal Consolidation Credit Project,P060092,Western and Central Africa,Closed,Central African Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P060092,1999-12-16T00:00:00Z,20000000,20000000,,,C
Rural Development in Marginal Areas Project - APL II,P057530,Latin America and Caribbean,Closed,United Mexican States,,https://projects.worldbank.org/en/projects-operations/project-detail/P057530,1999-12-15T00:00:00Z,73000000,73000000,,,B
Emergency Flood Assistance Project - Supplemental Credit,P068786,Europe and Central Asia,Closed,Republic of Tajikistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P068786,1999-12-14T00:00:00Z,2200000,2200000,,,B
North-East Irrigated Agriculture Project,P058070,South Asia,Closed,Democratic Socialist Republic of Sri Lan,"Ministry of Home Affairs, Provincial Councils and Local Government",https://projects.worldbank.org/en/projects-operations/project-detail/P058070,1999-12-02T00:00:00Z,32400000,32400000,,,B
Mindanao Rural Development Project (APL),P058842,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P058842,1999-12-02T00:00:00Z,39370000,39370000,,,B
Rural Environment Protection Project,P050660,Europe and Central Asia,Closed,Republic of Poland,,https://projects.worldbank.org/en/projects-operations/project-detail/P050660,1999-11-30T00:00:00Z,15800000,15800000,,,B
Agricultural Research and Extension Project,P047690,Latin America and Caribbean,Closed,Republic of Peru,,https://projects.worldbank.org/en/projects-operations/project-detail/P047690,1999-11-23T00:00:00Z,13820000,13820000,,,B
Coastal Wetlands Protection and Development Project,P042568,East Asia and Pacific,Closed,Socialist Republic of Vietnam,,https://projects.worldbank.org/en/projects-operations/project-detail/P042568,1999-11-23T00:00:00Z,55400000,55400000,,,A
Financial Sector Adjustment Loan Project,P063643,Latin America and Caribbean,Closed,Republic of Colombia,,https://projects.worldbank.org/en/projects-operations/project-detail/P063643,1999-11-18T00:00:00Z,1006000000,1006000000,,,C
Agricultural Services Innovation and Reform,P058468,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P058468,1999-09-14T00:00:00Z,14400000,14400000,,,C
Fourth Fisheries,P009468,South Asia,Closed,People's Republic of Bangladesh,,https://projects.worldbank.org/en/projects-operations/project-detail/P009468,1999-07-20T00:00:00Z,60800000,60800000,,,B
Integrated Development Project for Irrigated Agriculture,P044711,Western and Central Africa,Closed,Islamic Republic of Mauritania,,https://projects.worldbank.org/en/projects-operations/project-detail/P044711,1999-07-08T00:00:00Z,46000000,46000000,,,A
Agricultural and Rural Market Development Project (LIL),P058038,Eastern and Southern Africa,Closed,Republic of Rwanda,,https://projects.worldbank.org/en/projects-operations/project-detail/P058038,1999-07-01T00:00:00Z,5610000,5610000,,,C
Irrigation Dam Safety,P064879,Europe and Central Asia,Closed,Republic of Armenia,,https://projects.worldbank.org/en/projects-operations/project-detail/P064879,1999-06-24T00:00:00Z,30300000,30300000,,,B
Gansu and Inner Mongolia Poverty Reduction Project,P046564,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P046564,1999-06-24T00:00:00Z,280000000,280000000,,,B
Rural Finance 2 Project,P064585,Europe and Central Asia,Closed,Kyrgyz Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P064585,1999-06-24T00:00:00Z,22900000,22900000,,,F
Structural Adjustment Credit Project,P061496,Europe and Central Asia,Closed,Republic of Moldova,,https://projects.worldbank.org/en/projects-operations/project-detail/P061496,1999-06-24T00:00:00Z,40000000,40000000,,,U
BULGARIA AGRICULTURE SECTOR ADJUSTMENT LOAN,P057925,Europe and Central Asia,Closed,Republic of Bulgaria,,https://projects.worldbank.org/en/projects-operations/project-detail/P057925,1999-06-22T00:00:00Z,75800000,75800000,,,C
Egypt - Private Sector and Agriculture Development,P053832,Middle East and North Africa,Closed,Arab Republic of Egypt,,https://projects.worldbank.org/en/projects-operations/project-detail/P053832,1999-06-22T00:00:00Z,479000000,479000000,,,B
Albania Community Works Support Project,P066335,Europe and Central Asia,Closed,Republic of Albania,,https://projects.worldbank.org/en/projects-operations/project-detail/P066335,1999-06-22T00:00:00Z,5500000,5500000,,,C
Poverty Alleviation Fund Project,P049791,South Asia,Closed,Islamic Republic of Pakistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P049791,1999-06-17T00:00:00Z,107000000,107000000,,,F
Structural Adjustment Credit Project,P061214,East Asia and Pacific,Closed,Solomon Islands,,https://projects.worldbank.org/en/projects-operations/project-detail/P061214,1999-06-17T00:00:00Z,12000000,12000000,,,U
INTEGRATED WATERSHED DEVELOPMENT PROJECT,P041264,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P041264,1999-06-15T00:00:00Z,193000000,193000000,,,B
Farm Privatization Support Project,P049718,Europe and Central Asia,Closed,Republic of Tajikistan,Project Management Unit,https://projects.worldbank.org/en/projects-operations/project-detail/P049718,1999-06-10T00:00:00Z,23500000,23500000,,,B
Agricultural Development & Credit Project,P035813,Europe and Central Asia,Closed,Republic of Azerbaijan,,https://projects.worldbank.org/en/projects-operations/project-detail/P035813,1999-06-08T00:00:00Z,33700000,33700000,,,B
Pilot Reconstruction (Indigenous Displaced People) Supplemental Project,P065504,Europe and Central Asia,Closed,Republic of Azerbaijan,,https://projects.worldbank.org/en/projects-operations/project-detail/P065504,1999-06-08T00:00:00Z,10700000,10700000,,,B
Irrigation & Drainage 2 Project,P043178,Europe and Central Asia,Closed,Republic of Albania,,https://projects.worldbank.org/en/projects-operations/project-detail/P043178,1999-06-03T00:00:00Z,40500000,40500000,,,B
Animal & Plant Health Protection Project,P055388,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P055388,1999-05-27T00:00:00Z,44000000,44000000,,,B
Economic Reform Support Operation (02),P040557,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P040557,1999-05-27T00:00:00Z,180000000,180000000,,,C
ERSO II - IDA REFLOW,P066744,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P066744,1999-05-27T00:00:00Z,1800000,1800000,,,C
Guanzhong Irrigation Improvement Project,P051888,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P051888,1999-05-25T00:00:00Z,200000000,200000000,,,B
Second Loess Plateau Watershed Rehabilitation Project,P056216,East Asia and Pacific,Closed,People's Republic of China,Ministry of Water Resources,https://projects.worldbank.org/en/projects-operations/project-detail/P056216,1999-05-25T00:00:00Z,252000000,252000000,,,B
Policy Reform Support Loan Project (02),P060258,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P060258,1999-05-20T00:00:00Z,500000000,500000000,,,U
Agricultural Services & Producer Organizations Project,P002367,Western and Central Africa,Closed,Republic of Senegal,"Senegal - Ministry of Agriculture, Institut Sénégalais de Recherche Agricole (ISRA), Ministry of Livestock, Executive Secretariat, Fonds de Recherche Agricole et Agro-alimentaire (FNRAA), Agence National de Conseil Agricole et Rural (ANCAR), ASPRODEB",https://projects.worldbank.org/en/projects-operations/project-detail/P002367,1999-05-20T00:00:00Z,47100000,47100000,,,B
Water Resources Sector Adjusment Loan,P064118,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P064118,1999-05-18T00:00:00Z,300000000,300000000,,,B
Northeast Village Development Project,P058841,East Asia and Pacific,Closed,Kingdom of Cambodia,,https://projects.worldbank.org/en/projects-operations/project-detail/P058841,1999-05-18T00:00:00Z,6300000,6300000,"700,000",,C
AGRIC.RES & TRNG. II,P059127,Eastern and Southern Africa,Closed,Republic of Uganda,,https://projects.worldbank.org/en/projects-operations/project-detail/P059127,1999-05-06T00:00:00Z,26000000,26000000,,,C
Pilot Fisheries Developent Project,P052247,Middle East and North Africa,Closed,Kingdom of Morocco,,https://projects.worldbank.org/en/projects-operations/project-detail/P052247,1999-05-06T00:00:00Z,12900000,12900000,,,B
Structural Adjustment Credit Project (03),P044974,Western and Central Africa,Closed,Republic of Chad,,https://projects.worldbank.org/en/projects-operations/project-detail/P044974,1999-05-04T00:00:00Z,30000000,30000000,,,U
Mekong Delta Water Resources Project,P004845,East Asia and Pacific,Closed,Socialist Republic of Vietnam,,https://projects.worldbank.org/en/projects-operations/project-detail/P004845,1999-05-04T00:00:00Z,147600000,147600000,,,B
Economic Recovery Credit Project,P057294,Eastern and Southern Africa,Closed,Republic of Rwanda,,https://projects.worldbank.org/en/projects-operations/project-detail/P057294,1999-03-30T00:00:00Z,75000000,75000000,,,U
Social Fund II Project,P050601,East Asia and Pacific,Closed,Kingdom of Cambodia,,https://projects.worldbank.org/en/projects-operations/project-detail/P050601,1999-03-23T00:00:00Z,25000000,25000000,,,B
Local Government Finance & Development Project (LOGOFIND),P048588,East Asia and Pacific,Closed,Republic of the Philippines,,https://projects.worldbank.org/en/projects-operations/project-detail/P048588,1999-03-23T00:00:00Z,89300000,89300000,,,B
District Upland Development and Conservation Project,P059305,East Asia and Pacific,Closed,Lao People's Democratic Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P059305,1999-03-17T00:00:00Z,2200000,2200000,,,C
Agricultural Sector Public Expenditure Program,P001799,Eastern and Southern Africa,Closed,Republic of Mozambique,,https://projects.worldbank.org/en/projects-operations/project-detail/P001799,1999-02-18T00:00:00Z,216500000,216500000,,,B
MUNICIPAL INNOVATIONS PROJECT,P056074,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P056074,1999-02-09T00:00:00Z,7200000,7200000,,,B
Yangtze Flood Emergency Rehabilitation Project,P063123,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P063123,1999-02-09T00:00:00Z,132500000,132500000,,,C
Flood Emergency Project,P062682,Europe and Central Asia,Closed,Kyrgyz Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P062682,1999-01-26T00:00:00Z,22000000,22000000,,,B
Anning Valley Agricultural Development Project,P049665,East Asia and Pacific,Closed,People's Republic of China,,https://projects.worldbank.org/en/projects-operations/project-detail/P049665,1999-01-21T00:00:00Z,239800000,239800000,,,B
